N,P,K,pH,temperature,humidity,rainfall,region,label
23,33,14,8.4,24.7,28.8,80.3,Davanagere,Mothbeans
40,62,38,7.1,16.2,30.4,63.1,Shivamogga,Chickpea
14,6,3,6.2,24.8,89.1,120.0,Ballari,Orange
12,34,25,5.3,35.5,48.0,74.8,Ballari,Mango
11,18,17,6.5,20.0,91.1,84.6,Chitradurga,Orange
62,37,41,6.9,35.3,91.5,130.5,Ballari,Papaya
32,60,34,6.0,36.2,28.8,71.6,Mandya,Pigeonpeas
55,31,44,6.7,39.6,89.1,160.3,Vijayapura,Papaya
54,57,45,7.2,38.3,98.5,209.8,Ballari,Papaya
87,74,46,5.7,24.6,86.0,82.0,Davanagere,Banana
23,24,13,7.0,10.9,98.9,109.6,Ballari,Orange
12,11,45,5.7,22.3,77.4,118.3,Shivamogga,Pomegranate
44,65,24,6.1,26.4,14.5,139.2,Hassan,Pigeonpeas
20,58,16,5.4,16.3,28.9,77.5,Shivamogga,Kidneybeans
16,63,25,5.5,21.6,14.7,63.3,Shivamogga,Kidneybeans
53,54,57,6.7,34.7,86.3,192.1,Shivamogga,Papaya
38,28,56,6.7,28.8,93.3,264.0,Ballari,Papaya
90,23,44,5.9,24.5,85.3,35.5,Shivamogga,Watermelon
11,62,29,7.2,21.8,18.4,31.0,Ballari,Lentil
15,33,10,7.0,29.7,66.9,76.0,Belagavi,Mungbean
20,29,47,5.3,16.5,94.8,132.6,Davanagere,Pomegranate
27,80,47,7.0,21.7,29.4,40.8,Vijayapura,Chickpea
20,56,18,7.0,26.8,31.9,60.6,Tumakuru,Pigeonpeas
30,137,199,6.6,9.2,83.2,71.1,Davanagere,Grapes
25,65,16,6.3,18.5,23.0,40.6,Ballari,Lentil
57,36,36,7.0,24.9,90.2,291.2,Tumakuru,Rice
110,7,40,5.9,23.1,82.8,25.3,Vijayapura,Watermelon
10,125,195,5.8,20.9,81.1,49.6,Belagavi,Grapes
18,55,16,7.2,24.3,31.8,46.3,Tumakuru,Lentil
71,38,46,7.5,32.3,71.4,208.3,Belagavi,Rice
37,52,31,5.3,28.1,29.9,107.3,Davanagere,Pigeonpeas
10,39,39,5.4,24.8,76.0,109.5,Mysuru,Pomegranate
47,67,13,6.7,27.4,56.4,46.5,Tumakuru,Blackgram
13,68,28,6.0,21.8,24.1,77.9,Hassan,Kidneybeans
20,77,18,5.4,31.9,17.2,141.5,Davanagere,Pigeonpeas
79,59,43,6.2,22.6,70.9,214.8,Ballari,Jute
114,41,13,7.4,21.3,58.7,90.8,Tumakuru,Cotton
110,17,51,6.6,23.6,91.2,72.4,Belagavi,Watermelon
58,46,26,5.3,27.8,64.6,102.7,Vijayapura,Maize
93,12,26,6.4,24.1,52.6,193.4,Mandya,Coffee
20,31,23,6.3,26.0,37.6,50.5,Hassan,Mothbeans
87,49,39,6.7,34.7,84.9,170.8,Mandya,Rice
12,142,203,6.2,32.6,70.6,86.0,Mysuru,Grapes
11,15,18,6.8,29.2,90.0,119.4,Chitradurga,Orange
24,24,33,5.4,36.3,55.1,113.7,Vijayapura,Mango
133,40,15,6.8,24.4,66.6,88.0,Shivamogga,Cotton
105,37,25,6.3,22.9,62.9,83.3,Vijayapura,Cotton
72,35,38,6.6,18.6,85.8,278.5,Vijayapura,Rice
